marketplace;sku;marketplaceId
ozon;М221025;2157982653
ozon;М241031;1867769470
ozon;М241032;737113798
ozon;M112015;1641135564
ozon;M112016;1859508608
ozon;M112017;1859508608
ozon;M412018;2877600675
ozon;M112019;2733885357
ozon;M412020;2733885388
ozon;M112021;1640779429
ozon;M112022;3093265013
ozon;M112023;3093753105
ozon;M412024;1600240772
ozon;D911024;1050913621
ozon;D911025;1582154601
ozon;М241023С;1146203574
